field_name,field_type,required,example_value,purpose
request_id,Text,Yes,REQ-1001,Unique identifier for tracking
submitted_date,DateTime,Yes,2026-03-01T09:30:00,Supports aging and reporting
request_type,Choice,Yes,Callback Review,Standardizes request categories
priority,Choice,Yes,Medium,Supports triage
customer_impact,Choice,Yes,High,Highlights risk or urgency
review_status,Choice,Yes,Pending Review,Tracks review lifecycle
review_validated,Choice,No,Validated,Requires intentional confirmation before manager action
manager_action_status,Choice,No,Ready for Manager Review,Controls visibility and handoff
month,Calculated or Text,Yes,2026-03,Supports reporting grouping
notes,Multiple lines of text,No,Synthetic note only,Captures non-sensitive context
last_updated,DateTime,Yes,2026-03-01T11:15:00,Supports auditability
